song_id,danceability,energy,key,loudness,mode,explicit,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1MQTmpYOZ6fcMQc56Hdo7T,0.426,0.929,2.0,-6.729,1.0,0.0,0.0701,0.00162,0.105,0.0789,0.539,127.059
4UtqFgWCzESmaNfBd48TCn,0.627,0.781,2.0,-8.207,1.0,1.0,0.365,0.105,0.0,0.154,0.51,178.65
1hviYrkVTXBI3OmRtwNeox,0.457,0.587,7.0,-6.162,1.0,0.0,0.028,0.0122,0.000638,0.0592,0.152,101.032
5EnYdTx0BWhWM5YDcPkGAa,0.287,0.912,1.0,-5.553,1.0,0.0,0.0942,0.00743,0.00069,0.0871,0.274,138.871
42TtgFndtWMIr0UqJl01HA,0.381,0.683,2.0,-6.795,1.0,0.0,0.0354,0.224,1.52e-05,0.244,0.434,111.036
33OKxxPWyeVfybg8ytaj7G,0.488,0.417,9.0,-11.96,0.0,0.0,0.0297,0.483,0.000749,0.0945,0.121,116.244
2iUC7Md6LYUU7OUnIQVZje,0.767,0.668,11.0,-6.89,1.0,0.0,0.0278,0.184,0.00203,0.381,0.879,117.41
4ekwUZXOffhYB38taSBvUm,0.354,0.441,9.0,-11.378,1.0,0.0,0.0407,0.0251,0.000374,0.0908,0.434,169.767
4dHOg1U0mIHjqV0mmUtxZd,0.745,0.867,1.0,-2.446,1.0,0.0,0.0374,0.017,0.0,0.281,0.936,106.006
0vgowMpS9kbbzGci68PLky,0.374,0.518,0.0,-8.734,1.0,0.0,0.0355,0.807,0.00508,0.848,0.27,109.037
5dyO8mnNmFqxDjgl3QzbM8,0.194,0.143,9.0,-19.088,0.0,0.0,0.0374,0.915,0.00139,0.104,0.129,80.719
3i4aOoZtkXOoNI9yMPL9Ij,0.541,0.82,10.0,-6.195,0.0,0.0,0.0365,0.192,0.0395,0.182,0.146,120.003
3vBs3TsBwcMUMdGsnkD48W,0.557,0.305,10.0,-10.439,0.0,0.0,0.0287,0.663,0.0715,0.11,0.153,126.666
6eYqvu9hPLkKQL0YgHXKFV,0.521,0.387,7.0,-12.204,1.0,0.0,0.0289,0.142,0.00068,0.112,0.291,130.216
25ktoN54bAce9CVmZJk4Qe,0.115,0.176,1.0,-16.851,1.0,0.0,0.0518,0.92,0.0186,0.102,0.0554,75.295
63xdwScd1Ai1GigAwQxE8y,0.756,0.397,7.0,-10.701,0.0,0.0,0.0522,0.57,0.0115,0.0542,0.507,101.985
0GltMgspY6OkEm4bBgsn8Z,0.817,0.844,6.0,-1.762,1.0,1.0,0.309,0.0597,0.0,0.068,0.794,91.523
63GYPSzNsUdAROhzeferhG,0.179,0.209,0.0,-14.77,1.0,0.0,0.0314,0.316,5.31e-05,0.144,0.112,69.997
0GrHWVTDsaWcD4nrCGr7VE,0.295,0.797,8.0,-3.193,0.0,0.0,0.0301,0.598,0.000427,0.125,0.107,150.301
69Kzq3FMkDwiSFBQzRckFD,0.696,0.628,2.0,-8.407,1.0,0.0,0.0274,0.00102,0.428,0.272,0.701,100.038
4XDBEoD6QFnzDY5oMmNVXN,0.295,0.789,1.0,-5.559,1.0,0.0,0.0702,0.000166,0.0898,0.0986,0.515,104.135
2SUGGfkr37P5UEJ0xq8ljE,0.438,0.937,9.0,-5.971,0.0,0.0,0.189,6.97e-05,4.38e-05,0.0685,0.484,156.044
4DQ1VuWATAvpueRqTTqFQp,0.595,0.696,4.0,-4.551,1.0,0.0,0.0311,0.0492,0.0,0.12,0.725,131.561
2Vy4z1ZUN7RvN7syWI2yef,0.131,0.975,7.0,-7.228,1.0,0.0,0.118,1.61e-06,0.914,0.0862,0.393,79.467
6jKKw0sfQ5K4rRgFTJQ4AV,0.449,0.642,11.0,-13.537,1.0,0.0,0.0604,0.00144,0.00499,0.0878,0.861,128.441
0l481RtogQ2BHsSecANMed,0.788,0.452,9.0,-5.951,1.0,1.0,0.0409,0.00553,0.0039,0.0917,0.975,134.004
